nodes,interval,blocksize,SBR,throughput,theoretical_throughput,avg_delay,avg_prop_delay,throughput_markov,waste_rate_markov,SBR_markov,throughput_simple,waste_rate_simple,SBR_simple
8,5,5350000,0.63,0.076490822,0.2,2.26276,13.37633,-0.240941164,0.440941164,2.20470582,-2.475266,2.675266,13.37633
128,130,5350000,0.11,0.006534233,0.007692308,2.26304,19.98331,0.007050967,0.000641341,0.083374278,-0.146025462,0.153717769,19.98331
8,50,5350000,0.12,0.014887184,0.02,2.26302,9.54893,0.016852263,0.003147737,0.157386828,-0.1709786,0.1909786,9.54893
512,125,5350000,0.17,0.007383167,0.008,2.26302,23.48627,0.007228433,0.000771567,0.096445841,-0.17989016,0.18789016,23.48627
1,180,5350000,0,0.005787283,0.005555556,NaN,0,0.005555556,0,0,0.005555556,0,0
128,50,5350000,0.26,0.013859989,0.02,2.26302,19.40557,0.015789881,0.004210119,0.210505967,-0.3681114,0.3881114,19.40557
1,35,5350000,0,0.029763473,0.028571429,NaN,0,0.028571429,0,0,0.028571429,0,0
8,170,5350000,0.09,0.006109006,0.005882353,2.26286,9.27372,0.005617905,0.000264448,0.044956111,-0.048668941,0.054551294,9.27372
8,110,5350000,0.08,0.008995381,0.009090909,2.26276,9.4205,0.008449297,0.000641612,0.070577285,-0.07655,0.085640909,9.4205
32,100,5350000,0.14,0.0084203,0.01,2.26293,18.48318,0.008843228,0.001156772,0.115677243,-0.1748318,0.1848318,18.48318
2096,35,5350000,0.42,0.018093325,0.028571429,2.26299,29.12359,0.016590958,0.011980471,0.41931648,-0.803531143,0.832102571,29.12359
32,55,5350000,0.18,0.012887826,0.018181818,2.26298,17.62803,0.014534702,0.003647117,0.200591409,-0.302327818,0.320509636,17.62803
512,115,5350000,0.15,0.008441957,0.008695652,2.26299,23.87206,0.007769092,0.00092656,0.106554433,-0.198887478,0.20758313,23.87206
512,175,5350000,0.11,0.004992178,0.005714286,2.263,23.15499,0.005326182,0.000388104,0.067918176,-0.126599943,0.132314229,23.15499
1,50,5350000,0,0.020834401,0.02,NaN,0,0.02,0,0,0.02,0,0
128,45,5350000,0.24,0.016395587,0.022222222,2.26305,20.95729,0.016608924,0.005613298,0.252598415,-0.443495333,0.465717556,20.95729
