nodes,interval,blocksize,SBR,throughput,theoretical_throughput,avg_delay
8,130.0,26750000,0.21,0.006431244529422622,0.007692307692307693,11.17868
32,135.0,26750000,0.35,0.0048870235011584445,0.007407407407407408,11.17899
8,55.0,26750000,0.43,0.010534382342827286,0.01818181818181818,11.17873
1,175.0,26750000,0.0,0.005952621891838479,0.005714285714285714,NaN
32,110.0,26750000,0.4,0.005735194595152614,0.00909090909090909,11.179
32,190.0,26750000,0.28,0.003974719038041678,0.005263157894736842,11.17886
512,115.0,26750000,0.49,0.004253266943019069,0.008695652173913044,11.17902
128,105.0,26750000,0.49,0.004739236440075156,0.009523809523809525,11.17895
512,35.0,26750000,0.75,0.006648455777423269,0.02857142857142857,11.17899
128,140.0,26750000,0.4,0.004369578609199833,0.007142857142857143,11.17906
1,20.0,26750000,0.0,0.05208672439611954,0.05,NaN
2096,90.0,26750000,0.6,0.004649952295716675,0.011111111111111112,11.17899
128,40.0,26750000,0.71,0.007700237607331884,0.025,11.17907
1,35.0,26750000,0.0,0.029763472659125198,0.02857142857142857,NaN
32,165.0,26750000,0.33,0.004219253686594005,0.006060606060606061,11.17911
8,35.0,26750000,0.52,0.013262988212253966,0.02857142857142857,11.17883
8,140.0,26750000,0.2,0.005467298176054656,0.007142857142857143,11.17903
128,180.0,26750000,0.31,0.0037926852981826245,0.005555555555555556,11.17888
1,130.0,26750000,0.0,0.008013151183722726,0.007692307692307693,NaN
1,190.0,26750000,0.0,0.005482698413098737,0.005263157894736842,NaN
1,25.0,26750000,0.0,0.041669166816675665,0.04,NaN
128,100.0,26750000,0.48,0.005710229493552323,0.01,11.17896
8,30.0,26750000,0.53,0.014763557158304554,0.03333333333333333,11.17895
32,100.0,26750000,0.39,0.005836973678904186,0.01,11.179
2096,15.0,26750000,0.91,0.006522682083388142,0.06666666666666667,11.17899
128,145.0,26750000,0.39,0.004233811604364418,0.006896551724137931,11.17899
2096,115.0,26750000,0.57,0.004151448923453043,0.008695652173913044,11.17899
2096,35.0,26750000,0.78,0.006047605018821011,0.02857142857142857,11.17901
32,175.0,26750000,0.29,0.003433117172947994,0.005714285714285714,11.17907
512,105.0,26750000,0.52,0.004897273805207212,0.009523809523809525,11.17899
32,10.0,26750000,0.9,0.01009289393335269,0.1,11.17898
1,60.0,26750000,0.0,0.017361943037548327,0.016666666666666666,NaN
32,70.0,26750000,0.54,0.0071364036909188616,0.014285714285714285,11.17907
32,115.0,26750000,0.35,0.005268048307160089,0.008695652173913044,11.17901
512,120.0,26750000,0.49,0.004747914563312253,0.008333333333333333,11.179
