nodes,interval,blocksize,SBR,throughput,theoretical_throughput,avg_delay,avg_prop_delay,throughput_markov,waste_rate_markov,SBR_markov,throughput_simple,waste_rate_simple,SBR_simple
1,110.0,5350000,0.0,0.009470113080726275,0.00909090909090909,NaN,0,0.00909090909090909,0.0,0.0,0.00909090909090909,0.0,0.0
32,50.0,5350000,0.17,0.015806648023252212,0.02,2.26294,17.51167,-21889.568381547357,21889.588381547357,1094479.4190773678,-0.33023339999999995,0.3502334,17.51167
32,105.0,5350000,0.12,0.009779166854100699,0.009523809523809525,2.2628,18.67199,-102929.33556433301,102929.34508814254,10807581.234254966,-0.16830466666666669,0.1778284761904762,18.67199
8,45.0,5350000,0.12,0.018382396869698402,0.022222222222222223,2.26264,9.51427,-9633.177675564379,9633.1998977866,433493.995400397,-0.18920599999999999,0.2114282222222222,9.51427
8,75.0,5350000,0.06,0.012759242284741375,0.013333333333333334,2.26297,9.39184,-26414.53720781554,26414.550541148874,1981091.2905861654,-0.1118912,0.12522453333333333,9.39184
32,115.0,5350000,0.12,0.007667751423460544,0.008695652173913044,2.26286,17.62187,-116524.60684704063,116524.6155426928,13400330.787409673,-0.144538,0.15323365217391305,17.62187
128,35.0,5350000,0.39,0.01802440287856924,0.02857142857142857,2.26304,20.85807,-12775.540025267914,12775.568596696485,447144.90088437696,-0.5673734285714286,0.5959448571428572,20.85807
32,40.0,5350000,0.25,0.016569349915082084,0.025,2.26292,18.24675,-14597.376435237036,14597.401435237036,583896.0574094814,-0.43116875,0.45616875,18.24675
512,185.0,5350000,0.12,0.004756011610565784,0.005405405405405406,2.26302,23.18859,-396814.7409786124,396814.7463840178,73410728.08104329,-0.11993832432432433,0.12534372972972974,23.18859
128,160.0,5350000,0.12,0.006097705610212339,0.00625,2.26302,19.42385,-248625.27378215973,248625.28003215973,39780044.805145554,-0.11514906250000001,0.12139906250000002,19.42385
128,85.0,5350000,0.16,0.009591040893608788,0.011764705882352941,2.26305,19.76603,-71404.77172625143,71404.78349095731,6069406.596731372,-0.22077682352941175,0.2325415294117647,19.76603
1,155.0,5350000,0.0,0.006720697941792976,0.0064516129032258064,NaN,0,0.0064516129032258064,0.0,0.0,0.0064516129032258064,0.0,0.0
32,75.0,5350000,0.2,0.011176262070927494,0.013333333333333334,2.26289,18.38716,-51713.87457805334,51713.88791138668,3878541.5933540007,-0.23182880000000003,0.24516213333333337,18.38716
128,40.0,5350000,0.33,0.018027447509931772,0.025,2.26296,20.22051,-16176.383535659339,16176.408535659339,647056.3414263735,-0.48051275000000004,0.5055127500000001,20.22051
128,195.0,5350000,0.04,0.0048434950505292776,0.005128205128205128,2.26307,19.33148,-367539.75839334313,367539.76352154824,71670253.88670191,-0.09400758974358975,0.09913579487179487,19.33148
32,140.0,5350000,0.09,0.006562744298156499,0.007142857142857143,2.26305,17.26802,-169226.58896802063,169226.59611087778,23691723.45552289,-0.11620014285714285,0.123343,17.26802
32,15.0,5350000,0.48,0.036900074218602884,0.06666666666666667,2.26289,20.12288,-2263.7685888571937,2263.8352555238603,33957.528832857904,-1.2748586666666666,1.3415253333333332,20.12288
128,70.0,5350000,0.25,0.009254926098012846,0.014285714285714285,2.263,19.61883,-48066.1193839903,48066.133669704584,3364629.356879321,-0.2659832857142857,0.280269,19.61883
1,185.0,5350000,0.0,0.0056308725425534886,0.005405405405405406,NaN,0,0.005405405405405406,0.0,0.0,0.005405405405405406,0.0,0.0
512,45.0,5350000,0.3,0.01459210044968476,0.022222222222222223,2.263,24.13902,-24440.735686436034,24440.757908658255,1099834.1058896214,-0.5142004444444443,0.5364226666666666,24.139019999999995
1,120.0,5350000,0.0,0.008680936853649995,0.008333333333333333,NaN,0,0.008333333333333333,0.0,0.0,0.008333333333333333,0.0,0.0
2096,125.0,5350000,0.2,0.007028431139868832,0.008,2.26299,28.34257,-221426.3201321179,221426.3281321179,27678291.016514737,-0.21874055999999997,0.22674055999999998,28.34257
128,115.0,5350000,0.1,0.007132893000827344,0.008695652173913044,2.26295,18.99266,-125588.9556152183,125588.96431087048,14442730.895750105,-0.15645791304347825,0.1651535652173913,18.99266
32,180.0,5350000,0.07,0.004611778630198443,0.005555555555555556,2.26305,17.387,-281669.3945119808,281669.4000675364,50700492.012156546,-0.0910388888888889,0.09659444444444445,17.387
8,165.0,5350000,0.09,0.0051133065263125384,0.006060606060606061,2.26315,9.23947,-125772.27942438764,125772.2854849937,20752427.10502396,-0.049936181818181824,0.05599678787878788,9.23947
2096,155.0,5350000,0.12,0.005496455528205803,0.0064516129032258064,2.263,27.79942,-333940.5263029276,333940.5327545405,51760782.576953776,-0.17289948387096774,0.17935109677419353,27.799419999999998
32,135.0,5350000,0.12,0.006369464075840445,0.007407407407407408,2.26299,17.2738,-157407.49521187556,157407.50261928298,21250012.853603203,-0.12054666666666668,0.12795407407407408,17.2738
1,20.0,5350000,0.0,0.05208672439611954,0.05,NaN,0,0.05,0.0,0.0,0.05,0.0,0.0
512,170.0,5350000,0.12,0.004574326864930191,0.0058823529411764705,2.263,23.19325,-335142.45662832854,335142.4625106815,56974218.626815856,-0.1305485294117647,0.13643088235294118,23.193250000000003
512,90.0,5350000,0.24,0.009106664707967201,0.011111111111111112,2.26299,23.53741,-95326.49942756491,95326.51053867603,8579385.948480843,-0.25041566666666665,0.2615267777777778,23.537409999999998
1,90.0,5350000,0.0,0.011574601897355041,0.011111111111111112,NaN,0,0.011111111111111112,0.0,0.0,0.011111111111111112,0.0,0.0
128,75.0,5350000,0.23,0.01164051798908189,0.013333333333333334,2.26297,20.24291,-56933.171194200775,56933.18452753411,4269988.839565058,-0.25657213333333334,0.26990546666666665,20.24291
1,85.0,5350000,0.0,0.012255486199035714,0.011764705882352941,NaN,0,0.011764705882352941,0.0,0.0,0.011764705882352941,0.0,0.0
32,145.0,5350000,0.12,0.007552636780329067,0.006896551724137931,2.26298,17.58471,-184859.25708370682,184859.26398025855,26804593.277137488,-0.11437731034482759,0.12127386206896552,17.58471
2096,55.0,5350000,0.34,0.011671009107277438,0.01818181818181818,2.263,28.74491,-43476.6582304697,43476.67641228788,2391217.2026758334,-0.5044529090909091,0.5226347272727273,28.744910000000004
8,160.0,5350000,0.05,0.006116198973163587,0.00625,2.263,9.1324,-116894.71386562016,116894.72011562016,18703155.218499225,-0.050827500000000005,0.0570775,9.1324
1,105.0,5350000,0.0,0.009921068967402245,0.009523809523809525,NaN,0,0.009523809523809525,0.0,0.0,0.009523809523809525,0.0,0.0
128,80.0,5350000,0.17,0.007621666568855279,0.0125,2.26291,19.43367,-62187.73162870381,62187.74412870381,4975019.530296304,-0.230420875,0.242920875,19.43367
128,65.0,5350000,0.23,0.011825873473797117,0.015384615384615385,2.26304,20.22656,-42728.59281829855,42728.608202913936,2777359.5331894057,-0.29579323076923075,0.31117784615384614,20.22656
