nodes,interval,blocksize,SBR,throughput,theoretical_throughput,avg_delay
1,40.0,5350000,0.0,0.02604302985651072,0.025,NaN
8,40.0,5350000,0.22,0.01996557450940651,0.025,2.26314
128,135.0,5350000,0.1,0.0068002022380145586,0.007407407407407408,2.26292
128,15.0,5350000,0.53,0.028348940522777373,0.06666666666666667,2.26296
1,100.0,5350000,0.0,0.010417133267427605,0.01,NaN
1,55.0,5350000,0.0,0.0189403086702104,0.01818181818181818,NaN
8,65.0,5350000,0.12,0.013281978122191278,0.015384615384615385,2.26299
8,155.0,5350000,0.1,0.006501400206562488,0.0064516129032258064,2.26296
8,100.0,5350000,0.1,0.010243177122150707,0.01,2.26288
8,25.0,5350000,0.23,0.03386433743238562,0.04,2.26265
1,190.0,5350000,0.0,0.005482698413098737,0.005263157894736842,NaN
512,95.0,5350000,0.16,0.00893274589214281,0.010526315789473684,2.26297
1,15.0,5350000,0.0,0.0694495084711038,0.06666666666666667,NaN
32,100.0,5350000,0.15,0.009025480103645003,0.01,2.2631
8,120.0,5350000,0.1,0.008772480028352656,0.008333333333333333,2.26257
128,75.0,5350000,0.24,0.009952549231031213,0.013333333333333334,2.26298
32,30.0,5350000,0.41,0.022355143749219545,0.03333333333333333,2.263
2096,145.0,5350000,0.13,0.00587548808094927,0.006896551724137931,2.263
512,105.0,5350000,0.17,0.007841540040824626,0.009523809523809525,2.263
32,155.0,5350000,0.11,0.005349988116541547,0.0064516129032258064,2.26299
8,130.0,5350000,0.1,0.007991819573484582,0.007692307692307693,2.26256
128,155.0,5350000,0.13,0.005894078343264168,0.0064516129032258064,2.26304
512,180.0,5350000,0.15,0.004637508455916981,0.005555555555555556,2.26301
32,95.0,5350000,0.16,0.008398369607711316,0.010526315789473684,2.26294
2096,55.0,5350000,0.38,0.011528424221290598,0.01818181818181818,2.26298
32,130.0,5350000,0.11,0.006876572672170125,0.007692307692307693,2.2631
8,190.0,5350000,0.05,0.005633902164021258,0.005263157894736842,2.26274
32,175.0,5350000,0.12,0.0055085866624764316,0.005714285714285714,2.263
128,125.0,5350000,0.13,0.006391933277932318,0.008,2.26302
512,190.0,5350000,0.09,0.004752693363210664,0.005263157894736842,2.263
2096,30.0,5350000,0.42,0.01685948011095561,0.03333333333333333,2.26298
2096,135.0,5350000,0.12,0.005606866482679212,0.007407407407407408,2.26298
512,125.0,5350000,0.15,0.0064769767441559215,0.008,2.26298
2096,185.0,5350000,0.17,0.004803375043440523,0.005405405405405406,2.26299
512,45.0,5350000,0.31,0.016471178484819583,0.022222222222222223,2.26297
32,190.0,5350000,0.12,0.00524511827663037,0.005263157894736842,2.26298
128,65.0,5350000,0.22,0.012231713125554829,0.015384615384615385,2.26286
8,75.0,5350000,0.07,0.011616746795113809,0.013333333333333334,2.26288
2096,10.0,5350000,0.74,0.028194097565674626,0.1,2.26299
1,75.0,5350000,0.0,0.013889527421330063,0.013333333333333334,NaN
2096,110.0,5350000,0.19,0.00690317353384015,0.00909090909090909,2.26299
8,125.0,5350000,0.04,0.007800060122863427,0.008,2.26342
512,5.0,5350000,0.82,0.03576359892414246,0.2,2.26299
1,195.0,5350000,0.0,0.005342108922502507,0.005128205128205128,NaN
1,160.0,5350000,0.0,0.006510671413640599,0.00625,NaN
8,20.0,5350000,0.28,0.03236434484856723,0.05,2.26318
32,185.0,5350000,0.04,0.00447904235924419,0.005405405405405406,2.2631
512,150.0,5350000,0.15,0.006358783776622991,0.006666666666666667,2.26297
512,100.0,5350000,0.17,0.007640404660280103,0.01,2.26301
2096,60.0,5350000,0.29,0.01140772722937791,0.016666666666666666,2.26299
32,105.0,5350000,0.11,0.007391683380494737,0.009523809523809525,2.26288
1,115.0,5350000,0.0,0.009058384549439576,0.008695652173913044,NaN
8,30.0,5350000,0.21,0.025765413127787174,0.03333333333333333,2.26284
32,135.0,5350000,0.08,0.006803200089257985,0.007407407407407408,2.26299
2096,190.0,5350000,0.15,0.004281914025846147,0.005263157894736842,2.26298
2096,100.0,5350000,0.25,0.0081977157884727,0.01,2.26299
512,160.0,5350000,0.12,0.005958951050613722,0.00625,2.26298
32,25.0,5350000,0.31,0.025269435354467004,0.04,2.26308
8,185.0,5350000,0.04,0.00545875365736495,0.005405405405405406,2.26282
2096,15.0,5350000,0.65,0.02352638931563145,0.06666666666666667,2.26299
128,70.0,5350000,0.23,0.011265679777945485,0.014285714285714285,2.26308
32,125.0,5350000,0.16,0.007678587238234082,0.008,2.26305
512,80.0,5350000,0.22,0.00939968356905233,0.0125,2.26298
1,10.0,5350000,0.0,0.10417686731825825,0.1,NaN
32,170.0,5350000,0.04,0.005328490516965354,0.0058823529411764705,2.26311
128,120.0,5350000,0.12,0.007458420998031655,0.008333333333333333,2.26306
512,35.0,5350000,0.37,0.01812596557384793,0.02857142857142857,2.26301
1,150.0,5350000,0.0,0.006944742971937474,0.006666666666666667,NaN
8,70.0,5350000,0.08,0.012021114847807877,0.014285714285714285,2.26299
1,70.0,5350000,0.0,0.01488165881683967,0.014285714285714285,NaN
32,195.0,5350000,0.08,0.0045198003640337615,0.005128205128205128,2.26299
