nodes,interval,blocksize,SBR,throughput,theoretical_throughput,avg_delay
32,115.0,535000,0.0,0.00896260050212073,0.008695652173913044,0.25615
32,190.0,535000,0.02,0.005356357672497616,0.005263157894736842,0.25599
32,55.0,535000,0.04,0.017736943392545165,0.01818181818181818,0.25607
8,160.0,535000,0.03,0.0070399457079387,0.00625,0.25606
32,20.0,535000,0.09,0.04507082880747094,0.05,0.25597
2096,185.0,535000,0.01,0.004933474805656861,0.005405405405405406,0.25597
32,85.0,535000,0.02,0.010415061011427406,0.011764705882352941,0.25613
128,15.0,535000,0.14,0.06171827415756114,0.06666666666666667,0.25604
512,145.0,535000,0.02,0.006537335934931542,0.006896551724137931,0.25596
1,145.0,535000,0.0,0.007184240936451438,0.006896551724137931,NaN
2096,35.0,535000,0.08,0.025559726050856185,0.02857142857142857,0.25601
128,85.0,535000,0.03,0.010403785479769527,0.011764705882352941,0.25597
128,155.0,535000,0.02,0.007233566584510229,0.0064516129032258064,0.25603
8,70.0,535000,0.07,0.014238430492111482,0.014285714285714285,0.25588
2096,10.0,535000,0.26,0.08762325893027047,0.1,0.25601
512,190.0,535000,0.02,0.00524340818385906,0.005263157894736842,0.25601
32,10.0,535000,0.15,0.0842156324425565,0.1,0.256
128,120.0,535000,0.02,0.008154338801361122,0.008333333333333333,0.256
1,130.0,535000,0.0,0.008013151183722726,0.007692307692307693,NaN
32,120.0,535000,0.01,0.009599502976133907,0.008333333333333333,0.25608
2096,55.0,535000,0.1,0.018161734605478087,0.01818181818181818,0.25599
128,10.0,535000,0.21,0.07566751994406658,0.1,0.25601
128,150.0,535000,0.01,0.006275471747606551,0.006666666666666667,0.25598
8,45.0,535000,0.04,0.022520686376471106,0.022222222222222223,0.25595
512,40.0,535000,0.09,0.027001980865316282,0.025,0.25599
1,185.0,535000,0.0,0.0056308725425534886,0.005405405405405406,NaN
512,135.0,535000,0.03,0.008233580080005697,0.007407407407407408,0.25598
128,100.0,535000,0.02,0.009732746565508392,0.01,0.25608
128,65.0,535000,0.07,0.01645502840736268,0.015384615384615385,0.25596
1,100.0,535000,0.0,0.010417133267427605,0.01,NaN
512,125.0,535000,0.01,0.008497471195059706,0.008,0.25601
8,35.0,535000,0.04,0.028711219397070137,0.02857142857142857,0.25607
128,55.0,535000,0.03,0.018629779702855013,0.01818181818181818,0.256
1,105.0,535000,0.0,0.009921068967402245,0.009523809523809525,NaN
128,80.0,535000,0.03,0.013001906079431243,0.0125,0.25605
32,150.0,535000,0.0,0.006323951498327505,0.006666666666666667,0.25592
128,125.0,535000,0.03,0.007938900317817996,0.008,0.25601
32,25.0,535000,0.02,0.03598331237905109,0.04,0.2559
512,5.0,535000,0.35,0.13402039298061355,0.2,0.25599
32,50.0,535000,0.07,0.018236068828759302,0.02,0.25604
32,195.0,535000,0.03,0.005422921441661974,0.005128205128205128,0.25594
8,75.0,535000,0.04,0.015092478406813832,0.013333333333333334,0.25622
8,95.0,535000,0.0,0.01066911003511951,0.010526315789473684,0.25606
512,170.0,535000,0.03,0.006026771400703637,0.0058823529411764705,0.25601
1,180.0,535000,0.0,0.005787282862593816,0.005555555555555556,NaN
512,140.0,535000,0.0,0.007538591747337765,0.007142857142857143,0.25597
8,165.0,535000,0.03,0.006871808474451647,0.006060606060606061,0.25604
128,50.0,535000,0.07,0.017246029791481703,0.02,0.256
32,110.0,535000,0.04,0.009488085526361982,0.00909090909090909,0.25578
1,90.0,535000,0.0,0.011574601897355041,0.011111111111111112,NaN
1,135.0,535000,0.0,0.007716382806664485,0.007407407407407408,NaN
8,40.0,535000,0.04,0.024952695926696963,0.025,0.25597
32,80.0,535000,0.04,0.01188025463662578,0.0125,0.25595
512,10.0,535000,0.23,0.07827528706868538,0.1,0.25601
2096,165.0,535000,0.02,0.005978220386616296,0.006060606060606061,0.25596
8,195.0,535000,0.02,0.005400429128899441,0.005128205128205128,0.25564
32,70.0,535000,0.05,0.014219012896218125,0.014285714285714285,0.2559
1,165.0,535000,0.0,0.006313413902175293,0.006060606060606061,NaN
1,160.0,535000,0.0,0.006510671413640599,0.00625,NaN
512,150.0,535000,0.01,0.0060252426335082295,0.006666666666666667,0.25596
128,170.0,535000,0.0,0.0053080125564221835,0.0058823529411764705,0.25596
512,75.0,535000,0.05,0.012698243388500853,0.013333333333333334,0.25598
512,20.0,535000,0.16,0.046341243011161284,0.05,0.25601
1,115.0,535000,0.0,0.009058384549439576,0.008695652173913044,NaN
