nodes,interval,blocksize,SBR,throughput,theoretical_throughput,avg_delay,avg_prop_delay,throughput_markov,waste_rate_markov,SBR_markov
8,95.0,5350000,0.08,0.00953180534680902,0.010526315789473684,2.26278,9.28996,0.010192693363672338,0.00033362242580134546,0.03169413045112782
128,125.0,5350000,0.11,0.00724518975550455,0.008,2.26302,19.27865,0.007947703436628291,5.229656337170963e-05,0.006537070421463703
1,150.0,5350000,0.0,0.006944742971937474,0.006666666666666667,NaN,0,0.006666666666666667,0.0,0.0
32,165.0,5350000,0.09,0.006123654839705068,0.006060606060606061,2.26305,18.07886,0.005977033973744296,8.357208686176479e-05,0.01378939433219119
32,30.0,5350000,0.31,0.022631910087947602,0.03333333333333333,2.26305,18.3688,0.0307647339740995,0.0025685993592338315,0.07705798077701495
32,75.0,5350000,0.2,0.01028606048512147,0.013333333333333334,2.26298,18.14344,0.012927399546840608,0.00040593378649272655,0.03044503398695449
128,160.0,5350000,0.05,0.0055274515353049385,0.00625,2.26294,19.17976,0.006218244441099379,3.1755558900622e-05,0.00508088942409952
128,25.0,5350000,0.44,0.022574039394002213,0.04,2.26294,20.348,0.03862006614637494,0.0013799338536250561,0.0344983463406264
2096,180.0,5350000,0.14,0.004818592287775583,0.005555555555555556,2.26299,27.90235,0.005552176246644868,3.3793089106876357e-06,0.0006082756039237744
128,80.0,5350000,0.15,0.010719113143454964,0.0125,2.26302,19.92805,0.01236802204708515,0.00013197795291485193,0.010558236233188153
2096,40.0,5350000,0.4,0.015965937630022606,0.025,2.26298,28.87857,0.02492917479779264,7.082520220736109e-05,0.002833008088294443
2096,165.0,5350000,0.13,0.005043547502198231,0.006060606060606061,2.26301,27.87804,0.006056587907600355,4.018153005705661e-06,0.0006629952459414341
1,100.0,5350000,0.0,0.010417133267427605,0.01,NaN,0,0.01,0.0,0.0
32,180.0,5350000,0.06,0.005435678018482284,0.005555555555555556,2.26308,17.38415,0.005488030252156397,6.752530339915874e-05,0.012154554611848573
512,10.0,5350000,0.72,0.03133387005908033,0.1,2.26299,26.5343,0.09646836582269502,0.0035316341773049837,0.035316341773049834
128,170.0,5350000,0.11,0.005355974967672674,0.0058823529411764705,2.26304,19.44281,0.005853837654176541,2.8515286999929367e-05,0.004847598789987992
8,165.0,5350000,0.05,0.005637392327215898,0.006060606060606061,2.26309,9.12,0.005952034632034632,0.00010857142857142855,0.017914285714285712
32,45.0,5350000,0.21,0.01702363237670166,0.022222222222222223,2.26305,17.88243,0.021110849841045835,0.0011113723811763871,0.05001175715293742
128,75.0,5350000,0.19,0.010266946840238218,0.013333333333333334,2.26294,19.49665,0.013186422430993607,0.0001469109023397274,0.011018317675479554
512,95.0,5350000,0.2,0.010145903212387676,0.010526315789473684,2.26303,23.4053,0.010491798627733393,3.451716174029044e-05,0.003279130365327592
128,190.0,5350000,0.1,0.0047018938193887855,0.005263157894736842,2.26293,19.08287,0.005240752476900779,2.2405417836063485e-05,0.004257029388852062
128,135.0,5350000,0.11,0.006504563216588813,0.007407407407407408,2.26295,19.21698,0.007362714957836466,4.469244957094234e-05,0.006033480692077216
128,150.0,5350000,0.14,0.006769792266216394,0.006666666666666667,2.26305,19.56562,0.006629809015621023,3.685765104564396e-05,0.005528647656846594
2096,55.0,5350000,0.34,0.014076570632078844,0.01818181818181818,2.263,28.89079,0.018144341066063937,3.747711575424238e-05,0.002061241366483331
512,45.0,5350000,0.39,0.015284181849972916,0.022222222222222223,2.26297,24.08659,0.022063908569758078,0.00015831365246414566,0.007124114360886554
128,140.0,5350000,0.17,0.005496243757091529,0.007142857142857143,2.26296,19.51859,0.007100647767249057,4.220937560808558e-05,0.005909312585131981
1,135.0,5350000,0.0,0.007716382806664485,0.007407407407407408,NaN,0,0.007407407407407408,0.0,0.0
2096,125.0,5350000,0.15,0.006214067928959284,0.008,2.26299,27.84933,0.007993005980369264,6.994019630735442e-06,0.0008742524538419302
512,145.0,5350000,0.18,0.00621120077756705,0.006896551724137931,2.26302,23.63743,0.006881588253792565,1.4963470345365712e-05,0.002169703200078028
2096,75.0,5350000,0.28,0.009055502897806204,0.013333333333333334,2.26298,28.16068,0.013313688301703921,1.9645031629412335e-05,0.001473377372205925
32,175.0,5350000,0.08,0.005769637306751767,0.005714285714285714,2.26281,17.11053,0.005643971122720538,7.031459156517596e-05,0.012305053523905794
2096,10.0,5350000,0.75,0.027497627975236257,0.1,2.26297,31.27627,0.09877271034013553,0.001227289659864472,0.012272896598644719
1,140.0,5350000,0.0,0.00744080449382923,0.007142857142857143,NaN,0,0.007142857142857143,0.0,0.0
8,155.0,5350000,0.09,0.0066028252696990015,0.0064516129032258064,2.26271,9.24245,0.006326928446930281,0.0001246844562955255,0.01932609072580645
1,30.0,5350000,0.0,0.0347242116301802,0.03333333333333333,NaN,0,0.03333333333333333,0.0,0.0
1,120.0,5350000,0.0,0.008680936853649995,0.008333333333333333,NaN,0,0.008333333333333333,0.0,0.0
32,120.0,5350000,0.08,0.007014123681955827,0.008333333333333333,2.26314,17.10952,0.008183801579391872,0.0001495317539414606,0.01794381047297527
32,20.0,5350000,0.48,0.027895317798802787,0.05,2.26285,19.88127,0.043744785227603424,0.006255214772396581,0.1251042954479316
32,110.0,5350000,0.17,0.008409046283811198,0.00909090909090909,2.263,17.90832,0.008904645672318337,0.00018626341859075344,0.020488976044982878
512,55.0,5350000,0.33,0.012001865017085079,0.01818181818181818,2.26302,24.21281,0.018075284265839115,0.00010653391597906738,0.005859365378848706
512,120.0,5350000,0.16,0.007013534578759398,0.008333333333333333,2.26299,23.37094,0.008311731940026748,2.160139330658392e-05,0.0025921671967900706
1,110.0,5350000,0.0,0.009470113080726275,0.00909090909090909,NaN,0,0.00909090909090909,0.0,0.0
2096,45.0,5350000,0.36,0.013777349953177885,0.022222222222222223,2.263,28.53026,0.022166936520857435,5.5285701364786856e-05,0.0024878565614154086
2096,100.0,5350000,0.23,0.007926774989217605,0.01,2.263,28.47651,0.009988825737125295,1.1174262874705727e-05,0.0011174262874705727
128,130.0,5350000,0.07,0.007547631783349155,0.007692307692307693,2.26289,19.43904,0.007643554319453252,4.875337285444002e-05,0.006337938471077203
2096,30.0,5350000,0.46,0.020068443528008045,0.03333333333333333,2.26299,29.2698,0.033205716087676765,0.0001276172456565708,0.003828517369697124
512,90.0,5350000,0.23,0.010029269419874962,0.011111111111111112,2.26299,23.9941,0.011071684674984308,3.942643612680289e-05,0.00354837925141226
32,170.0,5350000,0.09,0.006657420840603237,0.0058823529411764705,2.26276,18.03123,0.0058038319805522156,7.85209606242548e-05,0.013348563306123315
32,40.0,5350000,0.27,0.02208612262657005,0.025,2.26305,18.29696,0.02356081358884582,0.0014391864111541835,0.057567456446167335
8,150.0,5350000,0.1,0.005622217880620636,0.006666666666666667,2.26284,9.26137,0.006533258836904763,0.00013340782976190477,0.020011174464285714
512,165.0,5350000,0.1,0.005563994899374596,0.006060606060606061,2.26303,23.38152,0.006049175357936492,1.1430702669568912e-05,0.0018860659404788705
2096,70.0,5350000,0.24,0.011749478558141591,0.014285714285714285,2.26298,28.41637,0.014262957829042832,2.2756456671452603e-05,0.0015929519670016823
8,170.0,5350000,0.1,0.005721638182826023,0.0058823529411764705,2.26283,9.20096,0.00577916619871478,0.00010318674246169054,0.017541746218487392
8,100.0,5350000,0.1,0.009951950985447162,0.01,2.26303,9.34732,0.009697046682142857,0.00030295331785714285,0.030295331785714284
128,185.0,5350000,0.05,0.005037357039807211,0.005405405405405406,2.26307,19.28002,0.005381528360242008,2.3877045163397357e-05,0.004417253355228511
1,180.0,5350000,0.0,0.005787282862593816,0.005555555555555556,NaN,0,0.005555555555555556,0.0,0.0
1,25.0,5350000,0.0,0.041669166816675665,0.04,NaN,0,0.04,0.0,0.0
128,20.0,5350000,0.43,0.026647207924395143,0.05,2.26298,20.49075,0.04782872705462702,0.002171272945372981,0.043425458907459615
8,160.0,5350000,0.05,0.006828817390867303,0.00625,2.26276,9.37547,0.006131302468959264,0.00011869753104073662,0.018991604966517858
128,70.0,5350000,0.19,0.010314825133498844,0.014285714285714285,2.26299,19.65586,0.014115689385833722,0.00017002489988056415,0.011901742991639491
32,95.0,5350000,0.15,0.008488499568572009,0.010526315789473684,2.26285,17.96241,0.010275834385834622,0.0002504814036390613,0.023795733345710824
8,55.0,5350000,0.11,0.017437977473620702,0.01818181818181818,2.26263,9.23147,0.01719273211038961,0.000989086071428571,0.05439973392857141
512,35.0,5350000,0.37,0.018696659598706117,0.02857142857142857,2.26305,24.606,0.02830408299225864,0.0002673455791699305,0.009357095270947568
2096,190.0,5350000,0.07,0.005214300448408982,0.005263157894736842,2.26299,27.78558,0.005260137634350929,3.020260385912473e-06,0.0005738494733233698
1,125.0,5350000,0.0,0.008333697932617885,0.008,NaN,0,0.008,0.0,0.0
1,115.0,5350000,0.0,0.009058384549439576,0.008695652173913044,NaN,0,0.008695652173913044,0.0,0.0
2096,90.0,5350000,0.22,0.009338032533139404,0.011111111111111112,2.26301,28.25413,0.011097423456376264,1.3687654734848765e-05,0.0012318889261363887
32,100.0,5350000,0.12,0.008528387505366488,0.01,2.26312,17.37269,0.009781362242705288,0.00021863775729471274,0.021863775729471274
32,115.0,5350000,0.13,0.00856164310259905,0.008695652173913044,2.26284,17.20463,0.008531929906647535,0.0001637222672655081,0.018828060735533433
1,35.0,5350000,0.0,0.029763472659125198,0.02857142857142857,NaN,0,0.02857142857142857,0.0,0.0
2096,145.0,5350000,0.19,0.005972319255820353,0.006896551724137931,2.26299,27.95116,0.006891335023042876,5.21670109505475e-06,0.0007564216587829389
2096,20.0,5350000,0.59,0.020491915833575226,0.05,2.26301,29.08462,0.04971467782613554,0.00028532217386446196,0.005706443477289239
512,75.0,5350000,0.2,0.01184231203615884,0.013333333333333334,2.26297,23.54604,0.01327761945047785,5.571388285548407e-05,0.004178541214161305
1,130.0,5350000,0.0,0.008013151183722726,0.007692307692307693,NaN,0,0.007692307692307693,0.0,0.0
32,60.0,5350000,0.22,0.013044128152436343,0.016666666666666666,2.26296,17.8709,0.01604192277636175,0.0006247438903049175,0.037484633418295055
2096,80.0,5350000,0.26,0.008636927078079204,0.0125,2.263,28.23981,0.012482685341989342,1.731465801065858e-05,0.0013851726408526863
128,165.0,5350000,0.12,0.004817936271550957,0.006060606060606061,2.26303,19.55051,0.006030168716079614,3.043734452644644e-05,0.005022161846863663
128,145.0,5350000,0.14,0.006183456348044497,0.006896551724137931,2.26304,19.47511,0.006857290804110627,3.926092002730356e-05,0.005692833403959017
512,50.0,5350000,0.34,0.012165419042116802,0.02,2.26302,24.01748,0.01987213387468938,0.00012786612531061892,0.006393306265530946
2096,50.0,5350000,0.36,0.01406813196309728,0.02,2.26298,28.91655,0.019954612256750624,4.5387743249375976e-05,0.0022693871624687987
1,175.0,5350000,0.0,0.005952621891838479,0.005714285714285714,NaN,0,0.005714285714285714,0.0,0.0
1,70.0,5350000,0.0,0.01488165881683967,0.014285714285714285,NaN,0,0.014285714285714285,0.0,0.0
1,85.0,5350000,0.0,0.012255486199035714,0.011764705882352941,NaN,0,0.011764705882352941,0.0,0.0
32,125.0,5350000,0.14,0.00817958400618674,0.008,2.26304,18.13145,0.007853960410202405,0.00014603958979759497,0.01825494872469937
32,35.0,5350000,0.28,0.01950640519414193,0.02857142857142857,2.26314,19.32994,0.026585550816503156,0.0019858777549254135,0.06950572142238948
32,85.0,5350000,0.17,0.009680466203507989,0.011764705882352941,2.2629,17.77981,0.011455001494817154,0.000309704387535788,0.026324872940541984
128,60.0,5350000,0.27,0.012680966356243443,0.016666666666666666,2.26298,19.89574,0.01643241960402092,0.00023424706264574678,0.014054823758744808
2096,160.0,5350000,0.17,0.005025351137616377,0.00625,2.26301,27.91762,0.006245720721538393,4.279278461607233e-06,0.0006846845538571573
1,165.0,5350000,0.0,0.006313413902175293,0.006060606060606061,NaN,0,0.006060606060606061,0.0,0.0
128,195.0,5350000,0.08,0.004824992457330542,0.005128205128205128,2.26306,19.4041,0.0051065759091535054,2.1629219051623024e-05,0.00421769771506649
512,5.0,5350000,0.83,0.03585393918358733,0.2,2.263,28.72989,0.18470455803481342,0.015295441965186599,0.07647720982593299
8,35.0,5350000,0.15,0.027184144032468743,0.02857142857142857,2.26318,9.52745,0.0260506819606414,0.0025207466107871716,0.088226131377551
512,135.0,5350000,0.16,0.00639364056218571,0.007407407407407408,2.263,23.99149,0.007389886452986264,1.752095442114391e-05,0.0023653288468544276
128,175.0,5350000,0.08,0.004784438556182753,0.005714285714285714,2.26299,19.51299,0.005687279464374529,2.7006249911185356e-05,0.004726093734457437
128,155.0,5350000,0.14,0.00625864827842423,0.0064516129032258064,2.26301,19.36162,0.006417454712944015,3.415819028179188e-05,0.005294519493677741
1,15.0,5350000,0.0,0.0694495084711038,0.06666666666666667,NaN,0,0.06666666666666667,0.0,0.0
