nodes,interval,blocksize,SBR,throughput,theoretical_throughput,avg_delay,avg_prop_delay,throughput_markov,waste_rate_markov,SBR_markov,throughput_simple,waste_rate_simple,SBR_simple
512,140.0,5350000,0.13,0.00559369961475072,0.007142857142857143,2.26298,23.14315,0.007127141415898864,1.5715726958278918e-05,0.0022002017741590487,-0.15816535714285712,0.16530821428571427,23.14315
8,105.0,5350000,0.08,0.010359334226307944,0.009523809523809525,2.26273,9.42638,0.009246697769679301,0.0002771117541302235,0.029096734183673468,-0.0802512380952381,0.08977504761904763,9.42638
2096,85.0,5350000,0.28,0.010336903458593519,0.011764705882352941,2.26298,28.45067,0.011749253808739386,1.5452073613556156e-05,0.0013134262571522733,-0.32294905882352937,0.3347137647058823,28.45067
32,20.0,5350000,0.4,0.03078992159654365,0.05,2.26304,18.28532,0.04424691663148287,0.005753083368517134,0.11506166737034268,-0.864266,0.914266,18.28532
512,160.0,5350000,0.09,0.0055660562298585296,0.00625,2.26301,23.14773,0.0062379652653600974,1.2034734639902981e-05,0.001925557542384477,-0.1384233125,0.1446733125,23.14773
8,165.0,5350000,0.07,0.006460085618098731,0.006060606060606061,2.26287,9.25666,0.005950407727272727,0.00011019833333333332,0.018182725,-0.05004036363636364,0.0561009696969697,9.25666
32,120.0,5350000,0.07,0.007955009014616215,0.008333333333333333,2.26287,16.72402,0.008187170726576857,0.00014616260675647628,0.017539512810777154,-0.1310335,0.13936683333333333,16.72402
128,160.0,5350000,0.13,0.005104281491732391,0.00625,2.26293,19.45086,0.006217795586055418,3.220441394458285e-05,0.005152706231133255,-0.11531787499999999,0.12156787499999999,19.45086
2096,125.0,5350000,0.2,0.00616611729644614,0.008,2.26298,28.02422,0.007992962058878398,7.037941121601446e-06,0.0008797426402001807,-0.21619375999999996,0.22419375999999996,28.024219999999996
512,105.0,5350000,0.13,0.008074480950159701,0.009523809523809525,2.26301,23.27862,0.009495706910417233,2.8102613392292437e-05,0.0029507744061907054,-0.21217733333333336,0.22170114285714287,23.27862
128,35.0,5350000,0.33,0.017773837515487678,0.02857142857142857,2.263,20.38417,0.02786612919233279,0.000705299379095781,0.024685478268352334,-0.5538334285714286,0.5824048571428572,20.38417
1,85.0,5350000,0.0,0.012255486199035714,0.011764705882352941,NaN,0,0.011764705882352941,0.0,0.0,0.011764705882352941,0.0,0.0
128,15.0,5350000,0.54,0.031672388491597696,0.06666666666666667,2.2631,22.19737,0.06248513335675343,0.004181533309913234,0.06272299964869851,-1.413158,1.4798246666666666,22.19737
8,190.0,5350000,0.04,0.00537135738713113,0.005263157894736842,2.26288,9.25569,0.00518005996562129,8.309792911555203e-05,0.015788606531954887,-0.043451,0.04871415789473684,9.25569
2096,135.0,5350000,0.19,0.006555232950691276,0.007407407407407408,2.263,28.33007,0.0074013076546471865,6.0997527602213985e-06,0.0008234666226298887,-0.20244496296296294,0.20985237037037036,28.330069999999996
1,145.0,5350000,0.0,0.007184240936451438,0.006896551724137931,NaN,0,0.006896551724137931,0.0,0.0,0.006896551724137931,0.0,0.0
8,25.0,5350000,0.21,0.029616545697885764,0.04,2.26279,9.6354,0.035003356857142856,0.004996643142857143,0.12491607857142857,-0.34541600000000006,0.38541600000000004,9.6354
128,170.0,5350000,0.12,0.005063955222482341,0.0058823529411764705,2.26303,18.95556,0.005854552266600914,2.7800674575556772e-05,0.004726114677844651,-0.10562094117647058,0.11150329411764705,18.95556
1,180.0,5350000,0.0,0.005787282862593816,0.005555555555555556,NaN,0,0.005555555555555556,0.0,0.0,0.005555555555555556,0.0,0.0
512,175.0,5350000,0.06,0.005398714209831501,0.005714285714285714,2.263,23.75107,0.005703963445627573,1.0322268658141202e-05,0.0018063970151747104,-0.13000611428571426,0.1357204,23.75107
